Filename,Touches
gpslogger/src/main/java/com/mendhak/gpslogger/NotificationAnnotationActivity.java,26
gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/AutoEmailManager.java,14
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpManager.java,19
gpslogger/src/main/java/com/mendhak/gpslogger/senders/opengts/OpenGTSManager.java,28
gpslogger/src/main/java/com/mendhak/gpslogger/senders/osm/OpenStreetMapManager.java,21
gpslogger/src/main/java/com/mendhak/gpslogger/senders/sftp/SFTPManager.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/ProfileLinkReceiverActivity.java,9
gpslogger/src/main/java/com/mendhak/gpslogger/common/network/Networks.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/ui/components/SimpleErrorDialog.java,1
gpslogger/src/main/res/values-zh-rCN/strings.xml,38
gpslogger/src/main/res/values-zh-rHK/strings.xml,13
gpslogger/src/main/java/com/mendhak/gpslogger/senders/sftp/SFTPJob.java,10
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpJob.java,23
gpslogger/src/main/res/values-tr/strings.xml,46
gpslogger/src/main/res/values-ar/strings.xml,37
gpslogger/src/main/res/values-cs/strings.xml,48
gpslogger/src/main/res/values-el/strings.xml,15
gpslogger/src/main/res/values-es-rPE/strings.xml,20
gpslogger/src/main/res/values-es/strings.xml,22
gpslogger/src/main/res/values-fa/strings.xml,19
gpslogger/src/main/res/values-fi/strings.xml,33
gpslogger/src/main/res/values-fil/strings.xml,13
gpslogger/src/main/res/values-hr/strings.xml,31
gpslogger/src/main/res/values-id/strings.xml,29
gpslogger/src/main/res/values-ja/strings.xml,48
gpslogger/src/main/res/values-ko/strings.xml,28
gpslogger/src/main/res/values-nl/strings.xml,45
gpslogger/src/main/res/values-pt-rBR/strings.xml,56
gpslogger/src/main/res/values-sl/strings.xml,30
gpslogger/src/main/res/values-ta/strings.xml,22
gpslogger/src/main/res/values-tl/strings.xml,23
gpslogger/src/main/res/values-uk/strings.xml,48
gpslogger/src/main/res/values-vi/strings.xml,36
gpslogger/src/main/res/values-zh-rTW/strings.xml,42
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/display/GpsDetailedViewFragment.java,24
gpslogger/src/main/res/layout/fragment_detailed_view.xml,16
gpslogger/src/main/res/values-af/strings.xml,22
